ID,AverageMass,AreaInSquaredPixels,Roundness
21,10.2444,17784.0,0.7531
22,10.2427,17844.0,0.7737
23,10.2425,17824.5,0.8063
24,10.1629,17287.5,0.7483
25,10.1636,17164.0,0.7635
26,9.7124,14675.5,0.8039
27,9.7125,14762.0,0.7448
28,9.8781,15341.5,0.8187
29,9.8802,15020.5,0.7621
30,9.9806,16184.0,0.7584
32,9.1594,11142.0,0.8605
33,9.1617,11399.0,0.8206
34,10.8762,20316.0,0.7326
35,10.8735,20238.5,0.7255
36,10.8766,20060.0,0.7662
37,9.9834,16101.0,0.7388
38,9.9846,16176.5,0.77
39,9.9304,15844.0,0.7404
40,9.9257,15439.0,0.7723
41,9.6898,14733.0,0.8081
42,9.6972,14678.5,0.7156
43,9.7016,14782.5,0.758
44,11.9737,25911.0,0.7188
45,11.9794,25901.5,0.718
46,8.7405,9031.5,0.8713
47,8.7423,9255.5,0.8207
48,9.1772,11447.0,0.8626
49,9.1813,11120.0,0.8423
50,9.4972,13716.0,0.8137
51,9.495,13726.0,0.8609
52,11.0753,21497.0,0.7225
53,11.0766,21718.5,0.7531
54,10.27,17607.5,0.7886
55,10.2695,17659.5,0.759
56,11.5706,23877.5,0.7258
57,11.5745,23818.5,0.7684
59,8.7329,8688.0,0.8489
60,8.7356,8318.5,0.8416
61,10.2567,17193.0,0.8207
62,10.2568,17334.5,0.7837
63,10.213,17449.0,0.8474
64,10.2143,17484.0,0.8228
65,12.3145,26764.0,0.7262
67,8.9281,10077.0,0.8206
68,8.9272,9995.5,0.8693
70,9.6905,14767.0,0.8073
71,9.6184,14306.0,0.8573
72,9.6184,14395.5,0.8555
73,10.6453,18899.5,0.8163
74,10.6412,19141.5,0.7381
75,8.8254,8977.5,0.8541
76,8.8253,8679.0,0.8541
77,9.9625,16255.5,0.784
78,9.962,16333.5,0.8524
79,9.4596,13270.0,0.7706
80,9.4601,12016.5,0.7953
81,9.4612,12586.0,0.8848
82,10.532,19021.5,0.733
83,10.5355,18905.5,0.7993
84,9.6529,14667.5,0.8083
85,9.6556,14116.0,0.8064
86,9.8557,14683.5,0.8596
87,9.8554,15259.0,0.8438
88,9.2088,11694.5,0.8745
90,10.187,17161.5,0.8193
91,10.1867,17167.0,0.7986
92,10.0272,15881.5,0.8036
93,10.0269,14921.0,0.8089
94,9.3013,11252.5,0.8505
95,9.3014,12011.0,0.8578
96,11.002,21062.5,0.7772
97,9.5888,14075.0,0.8444
98,9.5873,13814.5,0.8577
99,9.7797,13957.0,0.8244
100,9.7792,14775.0,0.8328
101,9.6791,13778.0,0.83
102,9.6792,13965.5,0.8675
103,10.6976,19726.0,0.8068
104,10.6998,19876.5,0.773
105,9.6584,14440.0,0.8748
106,8.9705,10313.0,0.8642
107,8.9705,9508.0,0.8477
108,9.7635,15364.5,0.8976
110,9.1183,11388.0,0.8787
111,9.1184,10784.5,0.8685
112,9.4547,13552.5,0.7657
113,9.4514,13499.0,0.8283
115,9.5985,14643.0,0.8185
116,9.0908,11000.5,0.8379
117,9.0968,11155.0,0.8626
118,9.2942,12030.0,0.8573
119,9.2938,11971.5,0.8015
120,9.8867,15609.5,0.8139
122,10.264,17761.0,0.812
123,10.0444,16591.5,0.806
124,10.0465,16490.5,0.7585
125,9.1023,10929.5,0.8565
126,9.098,10916.0,0.7261
127,8.8791,9782.0,0.8605
128,8.8784,9807.0,0.8644
129,9.0121,9788.0,0.8656
130,9.0096,10269.5,0.904
131,9.6864,14076.5,0.8014
132,9.6849,13902.0,0.6836
133,9.6861,14104.0,0.8418
134,9.6689,13965.5,0.799
135,9.6704,13644.0,0.848
136,9.0985,11154.5,0.886
137,9.0997,11392.5,0.8651
138,11.314,23070.0,0.7317
139,11.2989,22784.0,0.8098
140,11.8585,25695.0,0.7637
141,11.864,25858.5,0.759
142,8.5324,8228.5,0.7997
144,9.9429,15789.5,0.8412
145,9.9417,15747.5,0.8888
147,9.32,13044.0,0.8866
148,9.1677,11246.5,0.8727
149,9.1716,11783.0,0.8084
150,10.1133,16919.0,0.8289
151,10.1133,16756.5,0.8325
152,9.2749,12053.0,0.8848
153,9.2751,12073.0,0.8778
154,9.872,15752.0,0.8652
155,9.8664,15690.5,0.8484
156,9.5092,13366.0,0.8758
157,9.5135,12847.5,0.8719
158,9.2888,12241.5,0.8343
159,9.2894,11692.0,0.8886
160,8.755,9168.5,0.8408
161,9.0771,10316.0,0.8555
162,9.0749,10879.5,0.8478
163,8.8379,9142.5,0.8209
164,8.8402,9141.5,0.8321
165,8.832,9304.5,0.8541
166,8.8288,9501.5,0.8182
167,8.896,9855.0,0.8369
168,8.8938,9338.5,0.8961
169,8.5255,7326.5,0.842
173,8.8419,9004.5,0.824
